10:26:05AM 06/28/2022: UpDawg Version 2.2.5b
10:26:05AM 06/28/2022: Loading config
10:26:05AM 06/28/2022: Opening SQL connection
10:26:07AM 06/28/2022: Added new address: 10.0.10.1
10:26:07AM 06/28/2022: Added new address: 10.0.9.100
10:26:07AM 06/28/2022: Added new address: 10.0.9.101
10:26:07AM 06/28/2022: Added new address: 10.0.9.107
10:26:07AM 06/28/2022: Added new address: 10.0.9.113
10:26:07AM 06/28/2022: Added new address: 10.0.9.127
10:26:07AM 06/28/2022: Added new address: 10.0.9.240
10:26:07AM 06/28/2022: Added new address: 10.0.9.30
10:26:07AM 06/28/2022: Added new address: 10.0.9.35
10:26:07AM 06/28/2022: Added new address: 10.0.9.96
10:26:07AM 06/28/2022: Added new address: 10.0.9.98
10:26:07AM 06/28/2022: Added new address: 172.16.10.10
10:26:07AM 06/28/2022: Added new address: 172.16.10.31
10:26:07AM 06/28/2022: Added new address: 172.16.100.1
10:26:07AM 06/28/2022: Added new address: 172.16.100.10
10:26:07AM 06/28/2022: Added new address: 172.16.100.2
10:26:07AM 06/28/2022: Added new address: 172.16.100.20
10:26:07AM 06/28/2022: Added new address: 172.16.100.21
10:26:07AM 06/28/2022: Added new address: 172.16.100.30
10:26:07AM 06/28/2022: Added new address: 172.16.100.31
10:26:07AM 06/28/2022: Added new address: 172.16.100.32
10:26:07AM 06/28/2022: Added new address: 172.16.100.40
10:26:07AM 06/28/2022: Added new address: 172.16.100.41
10:26:07AM 06/28/2022: Added new address: 172.16.100.42
10:26:07AM 06/28/2022: Added new address: 172.16.100.50
10:26:07AM 06/28/2022: Added new address: 172.17.100.1
10:26:07AM 06/28/2022: Added new address: 172.17.100.10
10:26:07AM 06/28/2022: Added new address: 172.17.100.11
10:26:07AM 06/28/2022: Added new address: 172.17.100.20
10:26:07AM 06/28/2022: Added new address: 172.17.100.21
10:26:07AM 06/28/2022: Added new address: 172.17.100.30
10:26:07AM 06/28/2022: Added new address: 172.17.100.40
10:26:07AM 06/28/2022: Added new address: 172.17.100.50
10:26:07AM 06/28/2022: Added new address: 172.17.100.51
10:26:07AM 06/28/2022: Added new address: 172.17.100.52
10:26:07AM 06/28/2022: Added new address: 172.17.100.60
10:26:07AM 06/28/2022: Added new address: 172.18.100.1
10:26:07AM 06/28/2022: Added new address: 172.18.100.11
10:26:07AM 06/28/2022: Added new address: 172.18.100.21
10:26:07AM 06/28/2022: Added new address: 172.18.100.31
10:26:07AM 06/28/2022: Added new address: 172.18.100.40
10:26:07AM 06/28/2022: Added new address: 172.18.100.51
10:26:07AM 06/28/2022: Added new address: 172.19.100.1
10:26:07AM 06/28/2022: Added new address: 172.19.100.10
10:26:07AM 06/28/2022: Added new address: 172.19.100.2
10:26:07AM 06/28/2022: Added new address: 172.20.100.1
10:26:07AM 06/28/2022: Added new address: 172.20.100.101
10:26:07AM 06/28/2022: Added new address: 172.20.100.102
10:26:07AM 06/28/2022: Added new address: 172.20.100.11
10:26:07AM 06/28/2022: Added new address: 172.20.100.12
10:26:07AM 06/28/2022: Added new address: 172.20.100.20
10:26:07AM 06/28/2022: Added new address: 172.20.100.21
10:26:07AM 06/28/2022: Added new address: 172.20.100.31
10:26:07AM 06/28/2022: Added new address: 172.20.100.32
10:26:07AM 06/28/2022: Added new address: 172.20.100.51
10:26:07AM 06/28/2022: Added new address: 172.20.100.52
10:26:07AM 06/28/2022: Added new address: 172.20.100.53
10:26:07AM 06/28/2022: Added new address: 172.20.100.54
10:26:07AM 06/28/2022: Added new address: 172.21.100.1
10:26:07AM 06/28/2022: Added new address: 172.21.100.10
10:26:07AM 06/28/2022: Added new address: 172.31.254.16
10:26:07AM 06/28/2022: Added new address: 172.31.254.17
10:26:07AM 06/28/2022: Added new address: 172.31.254.18
10:26:07AM 06/28/2022: Added new address: 172.31.254.19
10:26:07AM 06/28/2022: Added new address: 172.31.254.20
10:26:07AM 06/28/2022: Added new address: 172.31.254.21
10:26:07AM 06/28/2022: Added new address: 172.31.254.22
10:26:07AM 06/28/2022: Added new address: 204.11.24.193
10:26:07AM 06/28/2022: Added new address: 204.11.24.194
10:26:07AM 06/28/2022: Added new address: 204.11.24.195
10:26:07AM 06/28/2022: Added new address: 204.11.24.196
10:26:07AM 06/28/2022: Added new address: 204.11.24.197
10:26:07AM 06/28/2022: Added new address: 204.11.24.198
10:26:07AM 06/28/2022: Added new address: 8.8.8.8
10:26:07AM 06/28/2022: Added new address: 10.0.9.140
10:26:07AM 06/28/2022: Added new address: 10.0.9.111
10:26:07AM 06/28/2022: Added new address: 10.0.9.139
10:26:07AM 06/28/2022: Added new address: fs1
10:26:07AM 06/28/2022: Added new address: 10.0.9.116
10:26:07AM 06/28/2022: Added new address: piData01
10:26:07AM 06/28/2022: Added new address: piData02
10:26:07AM 06/28/2022: Added new address: 10.0.9.11
10:26:07AM 06/28/2022: Added new address: 10.0.9.138
10:26:07AM 06/28/2022: Added new address: 10.100.10.201
10:26:07AM 06/28/2022: Added new address: 10.100.10.200
10:26:07AM 06/28/2022: Added new address: w19-vcc
